pr_max,pr_max_tc,t2m_max_pr,pr_int,pr_int_tc,pr_sum,sc_max,sm_prev,sm_max,t2m_min_pr,t2m_mean_pr,MltnInd,Dd_km-1,Slp_str,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD
4.11627708921508,0.6990562091947763,14.9659835214134,0.763751587229673,0.12970586716189153,68.73764285067057,100.0,0.124449963344444,0.435077834555556,5.4349514037067,15.826242936012068,0.21,0.023760240470207,8.89022184833703,21.17,0.692191454263,96.67,12.7
0.294505473734637,0.05001506837220837,19.8857791379888,0.037937807692557154,0.006442875310849535,2.276268461553429,0.0,0.125793623344444,0.243501923222222,9.35714778910615,17.01135875246276,0.21,0.023760240470207,8.89022184833703,21.17,0.692191454263,96.67,12.7
2.03671766324022,0.3458902542287908,4.24208157162011,0.5114802323476801,0.08686330500923917,55.239865093549454,37.7777777777778,0.125808435344444,0.423109471,2.07975535642458,7.165510701927241,0.21,0.023760240470207,8.89022184833703,21.17,0.692191454263,96.67,12.7
0.340471961236313,0.05782143266850702,19.7936690472067,0.03908649630703763,0.006637953992624343,1.5243733559744677,0.0,0.123472812395556,0.162852271503333,10.6831638510615,21.052984584259416,0.21,0.023760240470207,8.89022184833703,21.17,0.692191454263,96.67,12.7
3.163728476,0.10802502839413837,22.262218475,0.5957303463115731,0.0203411222118916,48.849888397548995,0.0,0.119310641,0.43570285,13.713933945,23.576242533687804,0.97,0.030508974637422,18.185316334734267,24.11,0.027980895720999998,0.42,15.0
0.208198115,0.007108893021349498,29.0750885,0.03586748395975,0.0012246897932521237,0.860819615034,0.0,0.120500891,0.243271191,17.7722034,24.700194587500004,0.97,0.030508974637422,18.185316334734267,24.11,0.027980895720999998,0.42,15.0
2.54812884,0.08700547230302923,15.21226597,0.5451477106574074,0.01861398579856066,58.875952751,100.0,0.120604046,0.42426851,8.564573,14.402454602655556,0.97,0.030508974637422,18.185316334734267,24.11,0.027980895720999998,0.42,15.0
0.5628121495,0.019217135380458467,31.10743713,0.11314727012307692,0.003863396356699426,1.4709145116,0.0,0.1184854012,0.1643814339,24.56249428,29.897199636153843,0.97,0.030508974637422,18.185316334734267,24.11,0.027980895720999998,0.42,15.0
3.163728476,0.14974738239372185,22.262218475,0.5957303463115731,0.028197445087150226,48.849888397548995,0.0,0.119310641,0.43570285,13.713933945,23.576242533687804,0.71,0.021659880554002,14.05533740154097,23.28,0.053768920066,0.66,14.4
0.208198115,0.009854550723004927,29.0750885,0.03586748395975,0.0016977000007321007,0.860819615034,0.0,0.120500891,0.243271191,17.7722034,24.700194587500004,0.71,0.021659880554002,14.05533740154097,23.28,0.053768920066,0.66,14.4
2.54812884,0.12060947286929906,15.21226597,0.5451477106574074,0.025803239218584833,58.875952751,0.0,0.120604046,0.42426851,8.564573,14.402454602655556,0.71,0.021659880554002,14.05533740154097,23.28,0.053768920066,0.66,14.4
0.5628121495,0.02663934241081473,31.10743713,0.11314727012307692,0.005355550469788842,1.4709145116,0.0,0.1184854012,0.1643814339,24.56249428,29.897199636153843,0.71,0.021659880554002,14.05533740154097,23.28,0.053768920066,0.66,14.4
3.2182577137,0.22847845110119908,21.8274833676,0.6169832595616354,0.04380239000124781,50.592627284054096,0.0,0.119310641,0.43570285,13.0465064528,23.013108012942805,0.61,0.028189544997679,15.662439587198126,24.12,0.12096510196700001,2.76,17.1
0.2168287588,0.015393639469557279,28.42556286,0.02716790141885,0.0019287703434764604,0.9780444510786,0.0,0.120500891,0.243271191,17.171841,25.599819075,0.61,0.028189544997679,15.662439587198126,24.12,0.12096510196700001,2.76,17.1
2.499033734,0.17741753693725204,14.709665395,0.5456024377489815,0.038734747488760664,58.92506327689,0.0,0.120604046,0.42426851,8.0081157,13.910059488405832,0.61,0.028189544997679,15.662439587198126,24.12,0.12096510196700001,2.76,17.1
0.54018393455,0.03835006380947667,30.438772198,0.11052055621615384,0.007846346609103081,1.43676723081,0.0,0.1184854012,0.1643814339,23.823460962,29.249159554,0.61,0.028189544997679,15.662439587198126,24.12,0.12096510196700001,2.76,17.1
3.87480913545455,0.31735425404477596,17.9147300690909,0.7696178183575365,0.06303316630737017,63.10866110531799,12.5,0.119310641,0.43570285,8.25316355427273,18.968778273046894,0.6,0.022518294037375,16.270923922120534,24.77,0.160990133426,5.54,19.6
0.278812473363636,0.022835273018503376,23.7607878090909,0.050553664165121165,0.004140441456471923,1.819931909944362,0.0,0.120500891,0.243271191,13.0448163636364,21.332129532323226,0.6,0.022518294037375,16.270923922120534,24.77,0.160990133426,5.54,19.6
2.14644160909091,0.17579765915974735,11.1000794472727,0.5488682050430134,0.044953352201665825,59.27776614464545,50.0,0.120604046,0.42426851,4.01174054545455,10.373767304248739,0.6,0.022518294037375,16.270923922120534,24.77,0.160990133426,5.54,19.6
0.456077776154545,0.03735363920601133,24.3585206818182,0.09165597452097897,0.007506799020550997,1.1915276687727265,0.0,0.1184854012,0.1643814339,18.5158580418182,24.595053509440564,0.6,0.022518294037375,16.270923922120534,24.77,0.160990133426,5.54,19.6
4.07624197,0.2457997645356166,16.44830322,0.8082594788121953,0.048738517251398064,66.27727726260001,0.0,0.119310641,0.43570285,7.039659023,17.944897326237808,0.77,0.023019863692564,23.991214595318155,27.34,0.087267845523,2.86,22.5
0.294504553,0.017758796046660356,22.5798321,0.05647411043000001,0.0034054217458666745,2.0330679754800003,0.0,0.120500891,0.243271191,12.0,20.251701799999996,0.77,0.023019863692564,23.991214595318155,27.34,0.087267845523,2.86,22.5
