storm,pr_max,pr_max_tc,t2m_max_pr,pr_int,pr_int_tc,pr_sum,sc_max,sm_prev,sm_max,t2m_min_pr,t2m_mean_pr,MltnInd,Dd_km-1,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD
0,3.67542028,0.26782523787137047,18.22514725,0.7627012524097561,0.05557749285516678,62.541502697599995,25.0,0.11157139922497,0.430810594901891,8.04405117,19.749345922201222,0.48,0.002251570415362,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778
1,0.245999292,0.017925791848786534,28.5612583,0.044981754144166664,0.0032777881400635196,1.07956209946,0.0,0.113969937338613,0.248246492623617,14.0602322,21.429471529166666,0.48,0.002251570415362,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778
2,1.8663224,0.13599757378621935,12.00881577,0.5440304859444444,0.039643111047792355,58.755292481999994,0.0,0.113235744546223,0.426635419924924,5.0,11.09421129692685,0.48,0.002251570415362,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778
3,0.4050147831,0.02951313655623052,25.8201485,0.07932875021538462,0.005780629092157568,1.0312737528,0.0,0.110528320073222,0.185271721298251,20.34602547,26.35957703307692,0.48,0.002251570415362,25.18,0.127438375190933,711438.7819584775,15.2,13.763440716977778
0,3.743435704,0.5836440762982766,17.65736224,0.7853684669355016,0.12244784996536016,64.40021428871113,1.78571428571429,0.113021238615385,0.431176236923077,7.31302141586667,19.133558343089785,0.42,0.003147691542632,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894
1,0.301092974,0.04694380899940549,27.5047002844444,0.022638522585363252,0.0035296023887824756,1.3130343099510686,0.0,0.115586685,0.249066182230769,13.3303628333333,23.442881538927196,0.42,0.003147691542632,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894
2,1.706371762,0.26604270771627836,11.6474175593333,0.5377522003281894,0.08384166606696229,58.07723763544445,83.3333333333333,0.114704679384615,0.426168642307692,4.55555555555556,10.592528163874215,0.42,0.003147691542632,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894
3,0.353238681253333,0.05507391608532965,24.7379498244444,0.0305205803978222,0.004758504583193511,0.9156174119346661,0.0,0.111973208738462,0.1864047177,14.366075516,24.662572431607405,0.42,0.003147691542632,25.88,0.583400301542312,12212288.482993098,20.7,14.125485378436894
0,3.67542028,0.413444855920859,18.22514725,0.7627012524097561,0.08579560577850713,62.541502697599995,0.0,0.110518662,0.431045,8.04405117,19.749345922201222,0.63,0.002201981503514,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863
1,0.245999292,0.027672248093916847,28.5612583,0.044981754144166664,0.005059958710681786,1.07956209946,0.0,0.112796007,0.247651311,14.0602322,21.429471529166666,0.63,0.002201981503514,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863
2,1.8663224,0.20994099639942992,12.00881577,0.5440304859444444,0.061197519941272045,58.755292481999994,0.0,0.112169142,0.42697435,5.0,11.09421129692685,0.63,0.002201981503514,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863
3,0.4050147831,0.04555976347951082,25.8201485,0.07932875021538462,0.008923622662054176,1.0312737528,0.0,0.1094791776,0.1844490457,20.34602547,26.35957703307692,0.63,0.002201981503514,27.85,0.303691343383343,3735998.030248087,22.0,19.469103003603863
0,3.67542028,0.21070034537620538,18.22514725,0.7627012524097561,0.043723276539574404,62.541502697599995,0.0,0.110518662,0.431045,8.04405117,19.749345922201222,0.91,0.003923985094606,27.32,0.078872884161534,419434.7559724801,26.2,28.220320820139694
1,0.245999292,0.014102369753127118,28.5612583,0.044981754144166664,0.002578663230808389,1.07956209946,0.0,0.112796007,0.247651311,14.0602322,21.429471529166666,0.91,0.003923985094606,27.32,0.078872884161534,419434.7559724801,26.2,28.220320820139694
2,1.8663224,0.10699042403481229,12.00881577,0.5440304859444444,0.031187565652676674,58.755292481999994,0.0,0.112169142,0.42697435,5.0,11.09421129692685,0.91,0.003923985094606,27.32,0.078872884161534,419434.7559724801,26.2,28.220320820139694
3,0.4050147831,0.023218230346609206,25.8201485,0.07932875021538462,0.004547669054229702,1.0312737528,0.0,0.1094791776,0.1844490457,20.34602547,26.35957703307692,0.91,0.003923985094606,27.32,0.078872884161534,419434.7559724801,26.2,28.220320820139694
0,3.67542028,0.3790806883080346,18.22514725,0.7627012524097561,0.07866455907374227,62.541502697599995,0.0,0.110518662,0.431045,8.04405117,19.749345922201222,0.88,0.003268292346664,27.19,0.255305721777107,1975073.853133068,23.9,23.477620037765774
1,0.245999292,0.025372222448162906,28.5612583,0.044981754144166664,0.004639391694893049,1.07956209946,0.0,0.112796007,0.247651311,14.0602322,21.429471529166666,0.88,0.003268292346664,27.19,0.255305721777107,1975073.853133068,23.9,23.477620037765774
2,1.8663224,0.19249139584023384,12.00881577,0.5440304859444444,0.05611098469325922,58.755292481999994,10.0,0.112169142,0.42697435,5.0,11.09421129692685,0.88,0.003268292346664,27.19,0.255305721777107,1975073.853133068,23.9,23.477620037765774
3,0.4050147831,0.04177298677594426,25.8201485,0.07932875021538462,0.008181920690241212,1.0312737528,0.0,0.1094791776,0.1844490457,20.34602547,26.35957703307692,0.88,0.003268292346664,27.19,0.255305721777107,1975073.853133068,23.9,23.477620037765774
0,3.67542028,0.20609183506808604,18.22514725,0.7627012524097561,0.04276694602062056,62.541502697599995,0.0,0.110518662,0.431045,8.04405117,19.749345922201222,1.32,0.002336246219677,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912
1,0.245999292,0.013793917879162908,28.5612583,0.044981754144166664,0.002522261823116673,1.07956209946,0.0,0.112796007,0.247651311,14.0602322,21.429471529166666,1.32,0.002336246219677,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912
